Term,Definition,Synonym
Acceptance Criteria,Acceptance Criteria are criteria set by the project stakeholders or product owner that a software feature or project must meet to be considered complete and satisfactory for the end user.,Completion Criteria
Acceptance Test,An Acceptance Test is a testing phase to verify whether a software system meets the agreed-upon Acceptance Criteria and is ready for deployment.,Validation Testing
Agile,"Agile is a project management and software development approach based on iterative development that results in frequent minor releases. In agile, requirements and solutions evolve through collaboration between self-organizing cross-functional teams, who typically engage in 'Agile events.'",Adaptive Project Management
Agile Ceremonies,"Agile Ceremonies are prescribed events in the Agile methodology that ensure regular and proper execution of the Agile process, including Sprint Planning, Daily Stand-ups, Sprint Reviews, and Sprint Retrospectives.",Agile Rituals
Agile Coaching,Agile Coaching is the process of guiding and mentoring individuals and teams to improve their understanding and adoption of Agile principles and practices.,Agile Mentoring
Agile Development,"Agile Development is a subset of Agile methodologies specifically applied to software development involving iterative and incremental development, where requirements and solutions evolve through collaboration.",Agile Software Development
Agile Manifesto,The Agile Manifesto is a formal proclamation of four key values and twelve principles guiding the Agile software development approach.,Manifesto for Agile Software Development
Agile Metrics,"Agile metrics are quantitative measures used in Agile projects to track and assess the progress, productivity, quality, and health of the development process and team.",Agile Performance Indicators
Agile Mindset,"The Agile Mindset is a way of thinking that embraces the core values and principles of Agile, such as adaptability, collaboration, continual improvement, and a focus on delivering value.",Agile Thinking
Agile Portfolio Management,"The application of Agile principles and practices to the management of project portfolios, prioritizing agility and flexibility in decision-making.",Adaptive Portfolio Management
Agile Principle,"Agile Principles are fundamental concepts that guide the Agile methodology, emphasizing customer satisfaction, early and continuous delivery, collaboration, and responding to change.",Agile Values
Agile Product Delivery (APD),"An approach focusing on delivering products and services to customers in a continuous and customer-centric manner, emphasizing adaptability and value.",Continuous Product Delivery
Agile Release Train (ART),"A team of Agile teams that work together to deliver solutions incrementally in a value stream, typically part of the Scaled Agile Framework.",Release Train
Agile Software Development,"An approach to software development under the Agile methodology, emphasizing iterative development, collaboration, and customer feedback.",Agile Programming
Agile Teams,"Cross-functional groups, usually comprising 10 or fewer individuals, possessing all necessary skills to define, build, test, and deliver value in an Agile project.",Cross-Functional Agile Group
Agile Transformation,"The process of transitioning an entire organization or team to adopt Agile methodologies, involving a change in culture, practices, and mindset.",Agile Change Management
Backlog,"A backlog is a prioritized list of tasks, features, or user stories that are yet to be worked on in an Agile project.",Task Queue
Backlog Refinement,"Backlog refinement is the ongoing process of reviewing, updating, and prioritizing backlog items to ensure readiness for future sprints.",Backlog Grooming
Behavior-Driven Development (BDD),"A software development approach that enhances collaboration among developers, QA teams, and non-technical stakeholders by defining expectations and outcomes in understandable language.",Specification by Example
Blended Learning,"A training method in Agile that combines different learning approaches, such as digital learning and face-to-face interaction, to enhance understanding and application of Agile principles.",Hybrid Learning
Bottleneck,"A point of congestion or blockage in a process that slows down or impedes workflow, commonly identified and addressed in Agile methodologies.",Workflow Constraint
